nombre;apellido;sexo;equipo;codigo;correo;fechaNacimiento;promedioNota;tieneHijos;ingresoPromedioHaceDosMeses;ingresoPromedioMesPasado
Giacomo;Aristotle;Femenino;blanco;II21822034;;16/12/1996;9;Sí;1700;2300
Rylee;Ivan;Masculino;morado;ME71143658;;23/01/1991;8;No;1600;2900
Deanna;Inez;Femenino;celeste;AR71796874;;18/12/1998;14;Sí;1000;2900
Elijah;Michael;Femenino;verde;IS54633274;;02/01/1994;12;Sí;1400;1500
Kyra;Tasha;Femenino;celeste;AF75435149;         ;27/08/1997;17;Sí;1300;2000
Mollie;Aileen;Masculino;celeste;IS13543342;          ;18/07/1992;16;No;1900;2800
Hiroko;Steel;Femenino;morado;II47792024;;13/05/2000;16;Sí;1900;2000
Lani;Nathaniel;Femenino;negro;IE95956170;;05/10/2000;14;No;1900;1600
Neve;Madeson;Femenino;rojo;IE51184857;;26/09/1998;14;Sí;1900;2000
Portia;Hedda;Masculino;negro;ME35489086;;23/06/1997;12;No;1300;3300
Alfreda;Irene;Femenino;violeta;ME67786800;;03/06/1996;20;No;1500;1500
Macy;Sigourney;Femenino;gris;AR35493659;           ;17/09/1995;12;No;1500;1500
Yoshio;Bertha;Femenino;marrón;II68021077;;02/09/1993;16;No;1100;2500
Abraham;Lael;Femenino;rojo;IE66891133;;18/01/1996;11;No;2000;2800
Kerry;Chancellor;Femenino;verde;EN94561046;;26/12/2001;14;No;1100;1600
Gabriel;Meredith;Masculino;turquesa;AR33128630;;02/01/1992;13;Sí;1000;3100
Maxwell;Nelle;Femenino;rojo;ME97437615;;04/08/2001;19;Sí;1000;2200
Rachel;Medge;Femenino;verde;II13267358;;04/12/1995;20;No;1300;2500
Omar;Daquan;Masculino;marrón;IS54358790;tortor@cursusdiamat.edu;28/03/1997;10;No;1100;3000
Casey;Nomlanga;Femenino;blanco;ME42065103;;14/03/2000;10;Sí;1500;2900
Melvin;Idona;Masculino;violeta;IE63778742;Curabitur.vel@nec.org;02/12/1998;14;Sí;1000;3400
Chandler;Tatyana;Femenino;blanco;II91567461;;30/04/1990;17;No;1700;1800
Clinton;Perry;Femenino;marrón;AF58186257;aliquet.magna@In.org;12/09/2001;20;No;1700;3500
Adara;Olivia;Masculino;rojo;IE72091741;;16/03/2001;12;Sí;1800;2300
Leah;Merrill;Femenino;rojo;II65882223;         ;15/06/1992;10;Sí;1700;1900
Molly;Cassady;Femenino;azul;AF43790451;         ;09/07/1990;16;No;1100;2900
Ori;Rajah;Femenino;marrón;II91626742;;21/03/1992;16;No;1600;3200
Candice;Baker;Femenino;negro;EN11858962;consectetuer.ipsum.nunc@dolordapibusgravida.edu;04/03/1995;9;Sí;2000;1800
Deanna;Isadora;Femenino;negro;EN30643287;;24/11/1993;16;No;1100;1600
Sacha;Summer;Masculino;turquesa;IM69140891;hendrerit.neque.In@liberoDonec.net;20/11/1994;17;Sí;1400;1600
Ian;Sophia;Femenino;gris;EN56107188;Nunc.quis@magnaaneque.co.uk;12/06/1990;8;No;1900;3400
Richard;Audrey;Masculino;blanco;II36417700;semper.auctor@quistristique.ca;27/03/2000;20;Sí;1200;2300
Rowan;Yasir;Femenino;morado;ME65436480;eu.accumsan.sed@Proin.net;28/11/1999;14;No;1600;2600
Keane;Kadeem;Femenino;naranja;II35641080;libero.at.auctor@nisl.net;19/07/2001;15;No;1200;2600
Yen;Desiree;Femenino;naranja;II53566899;condimentum@velmaurisInteger.co.uk;07/07/1996;18;No;1800;3000
Roth;Gannon;Femenino;violeta;ME43776085;;02/02/1992;11;Sí;1200;2500
Orlando;Reagan;Femenino;naranja;IS22416034;;19/09/1997;10;No;1100;2900
Lillian;Aiko;Femenino;azul;AF39375437;;07/10/2000;16;No;2000;3400
Kay;Oren;Masculino;verde;EN66590827;;06/05/1992;16;Sí;2000;1700
Unity;Isabelle;Masculino;negro;IS60568932;;30/05/1998;14;No;1600;3100
Olga;Melinda;Femenino;azul;AR95463076;;07/11/1993;18;No;1500;2600
Lila;Aimee;Masculino;rojo;EN12775035;;09/11/2000;9;No;1300;1900
Cedric;Felix;Masculino;morado;ME30963975;;25/10/1993;9;No;1200;3400
Isabella;Katell;Femenino;naranja;II45432090;;08/09/1998;11;Sí;1300;2100
Adrienne;Erich;Masculino;azul;IE33189219;;21/09/1992;20;Sí;1100;2100
Scarlett;Hoyt;Femenino;violeta;ME50911675;blandit.mattis.Cras@Proineget.ca;05/09/1999;15;No;1500;1900
Linus;Candace;Femenino;blanco;AR31471538;a.ultricies@Innec.ca;28/05/1991;9;No;2000;1500
Desiree;Oren;Masculino;rojo;EN42469287;nibh.sit.amet@tortor.net;15/12/1991;20;Sí;1200;2800
